Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Rockingdeals Cir,Commercial Services & Supplies,159.51,-51.62,,,14.4,19.49,0.21,51.15,21.7
Rodium Realty,Realty,58.62,3.83,58.84,22.29,16.81,7.47,5.29,30.65,5.77
Rolcon Engg. Co.,Industrial Products,48.34,-47.24,26.43,,17.16,18.33,0,-7.1,11.19
Rolex Rings,Auto Components,3663.15,-4.92,-10.06,,19.05,22.81,0,-5.52,18.53
Rollatainers,Industrial Products,35.27,-7.24,16.14,-16.63,,-10.82,,,
Roni Households,Commercial Services & Supplies,52.87,39.39,13.75,9.09,3.98,4.38,0.23,-44.8,66.92
Roopa Industries,Pharmaceuticals & Biotechnology,36,-23.51,-2.87,38.14,12.07,11.96,1.98,12.62,18.65
Rose Merc.,Commercial Services & Supplies,41.71,-5.68,19.1,,-1.93,32.01,0.02,1499.76,13.68
Roselabs Finance,Finance,19.73,-40.07,9.08,-2.81,,-175.76,,68.42,
Rossari Biotech,Chemicals & Petrochemicals,2748.4,-16.6,-7,-13.61,12.22,15.8,0.28,16.09,19.96
Rossell India,Agricultural Food & other Products,181.7,-16.41,-12.82,9.82,10.85,10.47,0.35,18.68,10.2
Rossell Techsys,Aerospace & Defense,2730.17,169.79,,,6.08,8.18,1.87,88.93,124.27
Roto Pumps,Industrial Products,1074.14,-12.68,6.55,38.09,15.97,19.03,0.13,-4.88,33.66
Rotographics (I),Commercial Services & Supplies,151.37,110.42,60.86,58.27,4.18,6.22,0,113.16,149.87
Route Mobile,Telecom - Services,3200.24,-48.17,-27.61,-21.54,14.48,17.74,0.01,0.78,10.37
ROX Hi-Tech,IT - Services,76.96,-45.45,,,18.04,,0.45,,2.61
Royal Arc Ele.,Industrial Products,176.49,37.07,,,16.45,22.18,0.07,1.98,16.73
Royal Cush. Vin.,Consumer Durables,70.51,-34.7,16.78,22.45,,9.81,,-9.72,
Royal India Corp,Consumer Durables,36.45,-74.48,-11.11,26.08,,,0.07,,3.27
Royal Orch.Hotel,Leisure Services,993.89,3.26,15.95,39.87,22.41,17.36,2.82,15.8,26.59
Royal Sense,Healthcare Equipment & Supplies,92.02,-28.2,,,27.55,35.18,0.19,152.47,11.47
Royale Manor,Leisure Services,61.36,-21.07,5.1,16.77,5.22,7.49,0.17,0.53,23.24
RPG LifeScience.,Pharmaceuticals & Biotechnology,3100.07,-10.32,30.03,35.05,25.53,32.8,0,5.71,29.51
RPP Infra Proj.,Construction,381.51,-34.16,22.5,8.96,13.88,20.09,0.18,-7.22,10.23
RPSG Ventures,Commercial Services & Supplies,2256.33,-12.75,17.14,17.34,-2.02,11.33,2.41,20.36,
RR Metalmakers,Metals & Minerals Trading,25.84,-28.97,0.16,5.45,19.89,23.02,1.48,-16.82,
RRIL,Textiles & Apparels,212.37,3.73,9.02,5.63,6.7,8.61,0.07,15.21,27.44
RRP Defense,Commercial Services & Supplies,1150.39,2985.17,264.4,169.67,87.02,82.72,0,0.71,460.16
RRPSemiconductor,Finance,13670.73,2264.91,,,208.63,80.21,1.56,-103.16,
RSC Internl.,Textiles & Apparels,21.15,110.65,90.98,53.68,-325,-167.74,0.5,-93.59,
RSD Finance,Finance,111.17,-26.92,0.8,13.08,6.45,11.15,0.01,-44.58,6.85
RSWM Ltd,Textiles & Apparels,707.66,13.17,-2.37,7.97,-3.19,2.59,1.16,-1.53,25.37
RTCL,Realty,16.97,-18.27,1.58,21.68,2.26,2.28,0.05,-72.8,8.66
RTS Power Corpn.,Electrical Equipment,111.08,-30.17,-3.89,23.66,2.33,4.3,0.22,-9.62,41.14
Rubfila Intl.,Industrial Products,355.34,-3.51,-0.67,1.46,9.3,12.63,0,10.88,13.8
Rubicon Research,Pharmaceuticals & Biotechnology,12856.29,,,,28.88,26.05,0.88,50.4,76.33
Ruby Mills,Textiles & Apparels,601.02,-0.82,1.69,14.87,5.66,5.54,0.61,33.51,12.39
Ruchi Infrastr.,Commercial Services & Supplies,135.48,-28.78,-13.92,-3.19,0.85,2.89,0.44,-0.98,12.9
Ruchira Papers,"Paper, Forest & Jute Products",327.28,-4.97,0.43,12.45,15.29,18.71,0.38,-4.42,6.17
Rudra Ecovation,Textiles & Apparels,286.39,-43.98,75.76,50.48,-5.73,-3.03,0.01,3.04,
Rudra Gas,Construction,52.61,-26.24,,,22.71,23.2,0.84,54.05,7.56
Rudra Global,Industrial Products,198.08,-36.24,-7.4,11.84,9.65,12.25,1.73,15,14.54
Rudrabhish. Ent.,Construction,158.34,-58.21,-16.06,-13.63,9.87,14.92,0.15,-9.09,40.39
Rukmani Devi Gar,Food Products,89.65,,,,26.45,19.13,0.87,33.81,11.84
Rulka,Construction,39.39,-44.24,,,9.53,12.25,0.31,61.92,13.87
Rungta Irrigatn.,Industrial Products,111.18,-11.65,0.83,39.27,6.91,9.95,0.33,-6.36,29.57
Rupa & Co,Textiles & Apparels,1100.86,-27.38,-16.5,-14.73,8.39,10.92,0.25,0.72,15.99
Ruparel Food,Food Products,41.92,-20,-1.42,50.27,-2.83,-2.83,0,201.47,
Rushil Decor,Consumer Durables,520.23,-30.31,-15.26,1.42,7.96,10.13,0.44,-4.62,56.73
S & S Power Swit,Electrical Equipment,373.39,13,105.23,71.57,-8.99,2.73,,46.83,46.27
S & T Corporatio,Textiles & Apparels,14.01,-35.77,-57.03,37.05,0.54,0.39,0,900,
S A I L,Ferrous Metals,68446.93,57.79,24.8,16.15,4.54,6.76,0.58,8.1,22.6
S A Tech Soft.,IT - Software,61.43,-24.84,,,29.17,29.91,0.76,38.43,27.18
S C I,Transport Services,12272.43,80.53,41.81,26.97,10.53,9.81,0.33,-1.78,10.83
S Chand & Compan,Printing & Publication,537.62,-10.08,-6.02,9.01,6.37,9.45,0.15,5.38,10.83
S D Retail,Textiles & Apparels,159.14,-15.88,,,11.3,12.21,0.23,1.14,17.26
S H Kelkar & Co.,Chemicals & Petrochemicals,2046.27,-10.68,10.09,4.65,7.7,10.29,0.67,10.45,22.04
S I Cap. & Fin.,Commercial Services & Supplies,20.15,-17.97,0.08,10.34,4.15,8.26,1.07,51.53,43.8
S I Paper Mills,"Paper, Forest & Jute Products",171.84,6.76,-8.29,3.04,-5.19,1.4,0.8,13.16,44.06
S J Logistics (I,Transport Services,476.3,-36.65,,,31.86,36.55,0.32,42.73,7.75
S K Internation.,Consumer Durables,24.99,,50.49,18.64,-2.89,-2.65,0,-61.31,12.56
S P Apparels,Textiles & Apparels,1775.18,4.21,30.14,31.32,11.69,14.25,0.45,24.93,15.64
S P Capital Fin.,Commercial Services & Supplies,34.92,35.12,52.07,29.02,3.66,4.33,3.62,199.54,5.52
S P I C,Fertilizers & Agrochemicals,1415.5,-7.32,5.14,17.23,13.85,16.9,0.35,27.24,7.03
S T C,Commercial Services & Supplies,699.9,6.41,17.8,2.03,,,,,15.71
S V Global Mill,Realty,234.17,25.24,37.26,34.02,0.58,1.48,0,-29.98,40.17
S. V. J. Enterp.,"Paper, Forest & Jute Products",265.6,134.45,,,3.42,5.76,0.3,-10.86,915.86
S.A.L Steel,Ferrous Metals,680.26,157.9,40.34,66.7,-5.62,7.05,6.05,-44.93,
S.M. Gold,Consumer Durables,18.29,-12.48,-6.26,-10.64,2.1,3.33,0.69,4.49,20.55
Saakshi Medtech,Electrical Equipment,319.57,20.75,,,4.92,6.09,0.23,1.19,40.5
Saatvik Green,Electrical Equipment,4664.12,,,,94.06,52.33,0.52,98.39,11.9
SAB Events,Media,17.75,281.31,67.54,61.31,,-200,,-0.51,
SAB Industries,Construction,167.77,-28.38,11.18,29.32,-5.43,-3.19,0.15,-42.13,
Sabar Flex India,Industrial Products,9.4,-28.29,-27.83,,2.03,5.91,0.67,-27.4,
Saboo Sodium,Food Products,56.54,-29.07,-8.25,14.02,0.6,3.86,0.41,3.3,514
Sabrimala Indus.,Commercial Services & Supplies,11.94,48.11,50.11,26.08,6.86,9.24,0,-100,24.88
Sacheerome,Chemicals & Petrochemicals,869.07,,,,29.59,38.62,0,26.37,36.39
Sacheta Metals,Non - Ferrous Metals,49,-7.33,3.26,0.1,4.12,6.03,0.4,3.78,21.68
Sadbhav Engg.,Construction,183.58,-15.75,-1.66,-31.87,,9.98,,-18.68,
Sadbhav Infra.,Construction,114.12,-32.08,-5.18,-32.31,,14.01,,13.87,3.69
Sadhana Nitro,Chemicals & Petrochemicals,581.08,-71.09,-54.47,-10.69,2.98,5.88,1.02,-50.16,
Sadhav Shipping,Transport Services,162.04,5.22,,,12.63,13.45,0.93,6.95,14.25
Safa Systems,Commercial Services & Supplies,46.16,-32.9,29.55,,10.6,8.39,1.07,-38.26,17.75
Safari Inds.,Consumer Durables,8805.19,-15.86,20.61,40.75,15.79,18.67,0.11,16.25,52.44
Safe Enterprises,Consumer Durables,1116.18,,,,77.55,96.45,0,37.06,20.12
Safecure Service,Other Consumer Services,35.24,,,,33.88,27.38,0.79,16.35,4.9
Saffron Industri,"Paper, Forest & Jute Products",22.02,258.48,81.81,48.18,,86.9,,-29.01,5.65
Sagar Cements,Cement & Cement Products,2521.22,7.58,-2.57,6.67,-10.29,-2.19,0.98,9.22,
Sagardeep Alloys,Industrial Products,40.85,-23.99,-0.14,-11.59,4.22,7.56,0.45,15.05,21.39
SagarSoft (India,IT - Software,56.25,-44.13,-14.72,2.11,8.57,11.28,0.1,9.93,
Sagility,IT - Services,18514.65,-7.72,,,7.38,9.58,0.14,27.48,21.19
Sahaj Fashions,Textiles & Apparels,6.39,-53.37,,,3.51,8.27,1.07,3.63,6.8
Sahaj Solar,Electrical Equipment,268.17,-45.54,,,37.78,31.6,0.8,43.85,10.14
Sahana Systems,IT - Services,891.53,-20.73,,,30.52,42.14,0.07,134.79,14.12
Sahara Housing,Finance,27.62,-0.98,-3.66,0.8,1.25,4.04,0.44,-18.97,58.77
Sahara Maritime,Transport Services,5.19,-64.04,,,2.02,3.44,0.05,53.88,10.38
Sahasra Electro.,Industrial Products,634.82,-21.58,,,1.24,,0.25,,869.62
Sahyadri Industr,Other Construction Materials,274.06,7.87,-7.73,-3.19,5.27,7.12,0.09,4.61,11.85
Sai Capital,Commercial Services & Supplies,49.31,-25.1,19.24,,3.03,4.59,0.06,44.44,3.29
Sai Life,Pharmaceuticals & Biotechnology,21139.75,44.69,,,11.05,14.05,0.18,39.61,62.33
Sai Silks,Retailing,1732.12,-16.78,,,7.78,12.37,0.25,14.8,14.22
Saianand Commer.,Commercial Services & Supplies,6.36,-20,-15.86,,0.9,0.97,0.06,-88.75,10.6
Sailani Tours N,Leisure Services,8.07,26.57,-17.24,,2.59,4.93,0.32,34.44,33.62
Sainik Finance,Cement & Cement Products,40.33,1.98,14.2,11.3,15.15,11.76,2.47,15.02,7.21
Saint-Gob. Sekur,Auto Components,903.81,-4.89,3.86,7.86,14.47,20.03,0.01,14.98,21.17
Saj Hotels,Leisure Services,70.63,-35.96,,,3.81,5.55,0.17,17.88,25.05
Sakar Healthcare,Pharmaceuticals & Biotechnology,1100.48,104.89,29.12,39.17,6.48,8.54,0.24,35.49,43.64
Saksoft,IT - Software,1877.85,-15.55,7.05,38.27,18.94,24.04,0.07,19.12,14.33
Sakthi Finance,Finance,155.1,-48.99,-9.13,9.25,7.44,10.48,5.45,-1.07,9.56
Sakthi Sugars,Agricultural Food & other Products,190.4,-22.98,-7.28,10.33,23.73,11.78,4.76,1.47,12.1
Sakuma Exports,Commercial Services & Supplies,286.89,-31.97,-10,12.4,1.91,2.79,0.06,-16.2,38.3
SAL Automotive,Auto Components,99.65,-16.57,16.64,19.67,13.19,15.45,0.6,9.51,21.52
Salasar Exterior,Construction,40.15,-68.8,-47.72,24.96,5.98,4.49,0.68,496.23,35.22
Salasar Techno,Industrial Manufacturing,1382.63,-12.5,-2.6,16.16,4.1,10.96,0.43,16.95,66.5
Salem Erode Inv.,Finance,37.8,-25.34,-7.96,70.77,-21.72,-6.67,0.06,-5.38,
Salguti Industri,Industrial Products,20.7,-37.4,3.1,33.31,1.78,7.15,4.14,25.57,59.14
Salona Cotspin,Textiles & Apparels,139.45,10.49,4.16,23.94,3.86,7.41,2.78,-7.29,13945
Salora Intl.,Commercial Services & Supplies,26.4,-31.31,-5.93,0.32,-2.39,-0.56,0.38,-22.36,
Salzer Electron.,Electrical Equipment,1164.14,-27.5,36.19,40.06,10.57,12.84,0.86,21.26,22.33
Sam Industries,Realty,47,-31.63,-9.43,27.1,3.66,4.96,0.41,50.24,10.54
Samay Project,Construction,70.61,,,,22.72,29.78,0.04,-8.91,15.62
Sambandam Spg.,Textiles & Apparels,41.75,-28.57,-11,3.12,-8.64,0.84,1.46,-1.46,
Sambhaav Media,Media,143.52,7.75,35.78,22.25,0.37,1.64,0.11,-5.79,
Sambhv Steel,Industrial Products,2943.47,,,,12.41,13.92,0.22,61.8,28.31
Sameera Agro,Agricultural Food & other Products,58.06,-21.43,,,11.72,15.58,0.07,31.65,4.89
Samhi Hotels,Leisure Services,3594.6,13.07,,,9.62,9.43,0.97,12.78,23.17
Samkrg Pistons,Auto Components,115.53,-14.16,-6,-5.73,3.08,7.35,0.29,16.51,16.27
Sammaan Capital,Finance,12422.54,35.79,17.26,-5.43,-8.66,3.65,2.04,0.74,9.7
Samor Reality,Realty,153.68,16.72,43.99,,-0.84,4.62,0.36,-100,
Sampann Utpadan,Industrial Products,145.99,2.64,31.51,49.54,-28.89,-1.51,2.23,61.8,19.41
Sampat Aluminium,Industrial Products,46.65,,,,38.83,28.6,0.33,-9.74,5.84
Sampre Nutrition,Food Products,208.45,150.74,2.98,36.5,-12.7,-7.13,0.17,62.88,
Samrat Forgings,Industrial Products,101,-33.77,10.75,13.86,14.77,11.88,2.31,13.83,24.75
Samrat Pharma,Pharmaceuticals & Biotechnology,64.7,-41.98,-24.96,6.57,10.07,13.21,0.15,-2.75,
Samsrita Labs,Healthcare Services,39.43,-3.56,-11.12,-12.97,-2.31,-1.8,0.11,,
Samtel (India),Consumer Durables,10.17,,,,-5.25,-2.01,0.1,,
Samtex Fashion,Textiles & Apparels,10.88,-42.06,-16.63,-1.06,,-0.12,,-100,
Samvardh. Mothe.,Auto Components,140732.94,68.66,34.94,9.6,12.16,13.66,0.53,8.71,39.92
Samyak Internati,Commercial Services & Supplies,13.14,-56.55,-8.86,1.57,-0.55,2.97,0.09,-13.92,
Sanathan Textile,Textiles & Apparels,3455.5,36.15,,,10.15,10.39,0.78,11.63,34.75
Sanathnagar Ent.,Realty,11.86,10.96,15.4,37,,1.03,,-100,40.9
Sanblue Corp.,Textiles & Apparels,21.3,-27.07,15,28.77,0.6,0.73,0,184.29,88.75
Sanchay Finvest,Commercial Services & Supplies,12.56,30.5,,,-11.59,-0.94,0,-126.32,
Sanco Industries,Industrial Products,2.89,-25.84,-34.46,-28.53,,-0.79,,,
Sanco Trans,Transport Services,132.84,5.59,0.36,27.38,1.03,2.55,0.07,28.39,25.21
Sancode Tech.,IT - Services,90.9,328.79,,,8.63,7.07,0.25,60.39,81.89
Sandesh,Media,746.33,-13.01,4.02,7.23,5.91,7.57,0,-0.07,6.6
Sandhar Tech,Auto Components,3049.26,47.29,32.01,16.93,12.75,12.32,0.78,20.35,17.21
Sandu Pharma.,Pharmaceuticals & Biotechnology,33.81,-27.73,-15.41,2.13,3.75,5.47,0.01,-2.28,16.49
Sandur Manganese,Consumable Fuels,10503.75,67.54,58,59.09,18.64,20.78,0.64,107.07,17.46
Sangal Papers,"Paper, Forest & Jute Products",24.89,1.6,5.91,19.49,7.05,9.85,0.59,4,13.24
Sangam Finserv,Finance,186.45,-21.65,60.69,38.18,5.07,7.4,0.21,-16.24,32.54
Sangam India,Textiles & Apparels,2346.77,46.55,29.05,44.55,3.04,6.63,1.2,7.94,35.36
Sangani Hospital,Healthcare Services,62.96,-31.69,,,7.44,9.91,0.03,79.02,33.31
Sanghi Industrie,Cement & Cement Products,1541.43,14.99,1.21,6.53,-46.07,-3.91,5.93,24.2,
Sanghvi Brands,Leisure Services,11.44,-22.57,-26.8,-2,20.1,21.89,0,26.25,8.47
Sanghvi Movers,Commercial Services & Supplies,2261.37,24.2,13.79,38.29,11.53,,0.41,,12.89
Sanginita Chemi.,Chemicals & Petrochemicals,36.83,36.34,-4.7,-7.55,1.28,4.19,0.47,-21.27,
Sanjiv.Parant.,Pharmaceuticals & Biotechnology,236.04,-29.11,73.74,77.19,24.58,30.21,0.15,11.81,28.86
Sanmit Infra,Petroleum Products,110.92,-30.63,-53.17,-6.81,4.31,7.56,0.47,-4.75,58.07
Sanmitra Commerc,Commercial Services & Supplies,159.32,,,,-7.67,-5.58,0.36,,549.38
Sanofi Consumer,Pharmaceuticals & Biotechnology,10339.14,-1.39,,,113.29,152.07,0.06,21.24,43.99
Sanofi India,Pharmaceuticals & Biotechnology,9131.63,-20.88,3.59,-4.86,43.04,57.53,0.02,-8.73,26.36
Sanrhea Tech.,Textiles & Apparels,78.15,17.69,27.83,66.45,19.86,22.79,0.4,8.56,15.79
Sansera Enginee.,Auto Components,14574.17,109.39,46.62,,10.5,13.38,0.15,10.06,53.25
Sanstar,Agricultural Food & other Products,1567.85,-8.45,,,9.63,11.76,0.03,-19.28,80.49
Santosh Fin Fab,Textiles & Apparels,10.83,-6.17,23.18,26.46,0,5.83,1.09,21.06,83.31
Sanwaria Consum.,Food Products,16.19,-47.62,-28.43,-24.55,,-1.65,,,
Sapphire Foods,Leisure Services,6565.53,-34.15,-6.37,,2.03,5.76,0.99,8.64,
Saptak Chem &,Commercial Services & Supplies,6.35,1815.21,220.36,,,-66.67,,,
Saptarishi Agro,Agricultural Food & other Products,153.1,79.35,34.98,31.65,24.75,16.28,2.22,104.22,64.33
Sar Auto Prod.,Auto Components,983.92,1.98,29.55,53.04,2.46,2.52,1.09,-38.1,8199.33
Sar Televenture,Telecom - Services,997.5,-0.84,,,10.09,9.28,0,181.9,14.89
Saraswati Commer,Finance,1097.68,6.63,55.57,59.51,6.47,8.32,0.05,-15.61,12.81
Saraswati Saree,Textiles & Apparels,242.94,-38.37,,,25.19,28.58,0.05,5.65,8.96
Sarda Energy,Ferrous Metals,19437.35,21.62,70.07,71.11,13.44,15.27,0.38,32.2,18.53
Sarda Proteins,Agricultural Food & other Products,11.74,-42.79,9.04,,0.42,0.84,0.07,-36.08,
Saregama India,Entertainment,6420.56,-24.96,1.81,26.33,12.51,17.2,0,-21.41,33.21
Sarla Performanc,Textiles & Apparels,702.18,14.22,30.31,26.03,13.88,14.92,0.33,-7.76,11.86
Saroja Pharma In,Chemicals & Petrochemicals,13.45,-28.83,,,6.79,12.57,0.65,93.63,10.59
Sarthak Global,Commercial Services & Supplies,11.71,102.96,58.78,,1.79,6.43,4.13,-57.42,22.96
Sarthak Industri,Commercial Services & Supplies,28.67,5.18,-7.04,29.62,6.87,11.05,0.33,167.92,11.11
Sarthak Metals,Industrial Products,95.79,-48.46,-25.96,18.46,3.48,5.84,0,-11.26,25.27
Sarup Industries,Consumer Durables,52.6,120.05,71.39,52.03,,5.25,,11.1,72.05
Sarveshwar Foods,Agricultural Food & other Products,470.88,-36.96,13.54,51.41,10.5,13.14,0.57,26.98,14.25
Sarvottam Finve.,Finance,15.64,7.31,-2,,-2.36,-2.18,0.01,-29.67,223.43
Sashwat Technoc,Other Construction Materials,9.07,33.81,39.18,,-4.44,-4.32,0,,
Sasken Technol.,IT - Services,1738.7,-28.54,9.82,6.18,5.97,7.41,0.03,81.12,41.01
Sastasundar Ven.,Healthcare Services,901.03,29.78,5.67,17.19,4.63,-1.33,0.01,8.8,34.74
Sat Kartar,Pharmaceuticals & Biotechnology,276.64,18.24,,,32.04,39.66,0.04,16.55,20.08
Satani Bearings,Industrial Manufacturing,599.1,225.03,105.14,114.35,-126.67,-126.67,0,,
Satchmo Holdings,Commercial Services & Supplies,50.75,-1.69,9.37,18.17,,,,-30.85,
Sathlokhar Sys.,Construction,950.04,-14.52,,,40.17,53.42,0.18,47.9,13.66
Sati Poly,Industrial Products,23.5,-65.84,,,104.28,39.33,0.85,29.3,1.94
Satia Industries,"Paper, Forest & Jute Products",662.4,-5.8,-17.07,-4.53,11.89,10.3,0.28,-5.62,9.39
Satiate Agri,Pharmaceuticals & Biotechnology,6.47,,,,-2600,-46.05,,69600,
Satin Creditcare,Finance,1709.21,6.02,4.73,10.3,7.53,11.87,3.68,9.53,8.9
Sattrix Infor.,IT - Services,250.68,246.31,,,16.13,23.63,0.09,34.95,44.29
Sattva Eng.,Other Utilities,83.85,,,,26.6,28.63,0.33,21.73,7.24
Sattva Sukun,Retailing,26.85,-78.4,-2.7,-2.39,10.75,13.79,0.02,395.01,16.99
Saumya Cons,Finance,87.68,-36.25,14.08,19.89,8.1,7.69,0,-72.05,
Saurashtra Cem.,Cement & Cement Products,729.38,-14.57,8.63,1.04,0.23,1.86,0.07,9.02,24.76
Saven Tech.,IT - Services,40.36,-18.64,-2.08,2.84,13.48,17.99,0,26.68,12.89
Savera Industrie,Leisure Services,181.51,23.25,33.47,28.81,14.38,17.18,0.09,25.74,12.93
Savita Oil Tech,Petroleum Products,2599.47,-0.35,14.89,11.88,6.1,9.84,0,9.59,14.6
Savy Infra,Construction,277.9,,,,76.1,61.88,0.31,178.95,8.49
Sawaca Enterpri.,Commercial Services & Supplies,26.31,-19.3,-56.74,-2.79,-20.02,5.12,0.01,-55.15,
Sawaliya Food,Agricultural Food & other Products,305.93,,,,75.86,44.37,0.38,46.07,43.96
Sayaji (Indore),Leisure Services,277.53,30.71,,,18.54,18.91,1.23,2.91,22.62
Sayaji Hot. Pune,Leisure Services,250.74,16.59,,,22.95,30.79,0,4.74,12.91
Sayaji Hotels,Leisure Services,492.26,6.14,-3.86,7.58,1.31,5.91,1.12,13.9,
Sayaji Industr,Agricultural Food & other Products,235.1,47.18,31.66,21.59,-40.77,-7.62,3.5,2.76,
SBC Exports,Textiles & Apparels,1535.24,143.69,65.36,102.36,24.45,16.98,2.82,31.05,51.09
SBEC Sugar,Agricultural Food & other Products,137.39,-26.73,-4.58,35.98,,12.4,,-9.38,
SBEC Systems,Commercial Services & Supplies,18.69,-1.11,-11.3,,,50.83,,4.14,16.11
SBFC Finance,Finance,10299.61,5.46,,,11.58,11.55,1.8,29.59,24.38
SBI,Banks,1109243.32,74.46,30.82,24.93,17.2,6.47,10.9,6.22,13.68
SBI Cards,Finance,73691.5,-7.68,1,-6.75,14.82,10.4,3.33,10.67,35.23
SBI Life Insuran,Insurance,204334.58,42.41,22.14,18.38,15.13,16.88,0,0.96,82.42
SBL Infratech,Realty,3.34,-13.2,-21.32,,4.84,4.62,0.05,158.85,15.18
SC Agrotech,Food Products,270.31,98.72,48.33,92.66,-53.93,-53.93,0.03,6476.47,122.87
Scan Projects,Cement & Cement Products,28.68,-15.13,148.43,,9.93,13.35,0.01,22.89,29.27
Scan Steels,Ferrous Metals,181.32,-15.86,-3.03,9.79,4.32,6.39,0.24,-0.89,11.01
Scarnose Inter.,Textiles & Apparels,23.94,-27.55,12.77,,1.97,2.59,0,4.35,104.09
Schaeffler India,Auto Components,68104.64,42.33,12.14,33.37,22.22,29.79,0.01,16.33,56.93
Schneider Elect.,Electrical Equipment,21673.22,48.1,76.77,51.56,73.96,40.9,0.8,14.53,82.83
Scintilla Comm,Finance,13.72,116.11,50.66,10.4,0.3,0.47,0.08,10.94,
Scoda Tubes,Industrial Products,816.08,,,,29.66,20.35,0.55,6.69,20.74
Scoobee Garments,Textiles & Apparels,116.41,-29.52,-9.77,-9.24,9.79,5.55,15.04,49.92,
SDC Techmedia,Entertainment,12.27,119.26,24.69,,17.41,11.8,12.18,1.88,
Sea TV Network,Entertainment,4.71,-46.96,4.65,21.84,,,,-14.77,6.93
Sealmatic India,Industrial Products,387.05,8.49,21.88,,16.73,21.99,0.04,42.01,24.25
SEAMEC Ltd,Transport Services,3347.2,40.76,30.26,22.11,7.93,8.6,0.38,19.81,17.54
Seasons Textiles,Textiles & Apparels,13.48,7.85,16.75,24.33,-0.97,3.47,0.55,-16.99,
Secmark Consult.,IT - Software,134.24,43.64,10.21,41.84,23.26,22.26,0,19.46,66.79
SecureKloud Tech,IT - Services,75.17,5.44,-19.82,-23.64,-495.46,-17.55,,-50.97,
Sedemac Mechatro,,7058.09,,,,21.95,24.03,0.21,24.07,150.46
Sejal Glass,Industrial Products,639.03,68.61,28.54,155.98,32.53,13.53,4.1,54.75,30.14
SEL Mfg. Co,Textiles & Apparels,99.17,13.07,-49.3,79.64,,-12.62,,-72.52,
Sellowrap Indus.,Auto Components,92.09,,,,21.55,20.85,0.5,18.09,8.16
Sellwin Traders,Commercial Services & Supplies,149.6,98.44,25.28,24.38,6.28,8.25,0.08,-5.95,21.59
Semac Construct,Construction,75.33,-36.81,-33.31,-7.35,-7.84,-1.53,0.66,93.62,22.16
Senco Gold,Consumer Durables,5193.96,8,,,9.83,10.39,1.13,28.98,10.71
Senores Pharma.,Pharmaceuticals & Biotechnology,3522.64,40.39,,,11.82,11.4,0.3,52.28,34.67
Senthil Infotek,IT - Software,18.09,65.37,31.65,51.42,-2.69,-2.69,0,-25,
SEPC,Construction,1411.87,-40.48,-16.67,13.36,2.55,6.08,0.19,43.14,28
SER Industries,Transport Services,73.23,,,,-165.96,-157.45,0,375,348.71
Sera Investments,Finance,238.26,14.87,-17.92,23.51,1.48,2.29,0,120.33,10.27
Service Care Ltd,Commercial Services & Supplies,69.31,-20,,,5.01,5.12,0.03,-5.08,32.24
Servotech Renew,Electrical Equipment,1706.49,-32.63,58.57,107.8,18.95,20.81,0.63,-4.94,52.72
Seshaasai Tech.,Financial Technology (Fintech),3927.84,,,,41.45,36.54,0.26,-6.16,17.51
Seshachal Tech.,IT - Software,6.38,,,,12.79,13.93,0,12.58,638
Seshasayee Paper,"Paper, Forest & Jute Products",1714.57,-0.82,2.8,10.86,5.6,7.04,0.04,-9.52,20.52
Setco Automotive,Auto Components,226.33,3.17,25.79,-0.33,,21.06,,12.61,
Setubandhan Inf.,Construction,5.03,-31.03,-27.51,-12.94,0.06,0.39,,-79.47,
Seya Industries,Chemicals & Petrochemicals,31.41,-42.73,-23.4,-25.37,-0.77,-0.51,0.94,-176.98,
SG Finserve,Finance,2178.79,13.35,-5.85,179.14,8.89,6.83,1.72,61.12,19.96
SG Mart,Metals & Minerals Trading,5817.42,38.92,191.71,145.38,9.01,11.33,0.17,9.91,56.63
SGL Resources,IT - Services,68.02,-41.94,-20.18,-20.59,1.03,1.64,0.08,-13.89,78.18
SGN Telecoms,Electrical Equipment,5.66,-15.66,15.87,7.39,-45.78,-43.37,0,,
Sh. Ajit Pulp,"Paper, Forest & Jute Products",239.1,33.1,13.89,12.42,3.96,7.43,1.05,48.82,9.78
Sh. Bajrang All.,Industrial Products,145.26,-0.83,-8,9.48,10.25,0.97,0.23,-44.14,4.01
Sh. Digvijay Cem,Cement & Cement Products,1027.1,0.22,1.98,3.2,6.77,8.73,0.39,3.28,29.01
Sh. Dinesh Mills,Textiles & Apparels,127.83,-19.1,-23.93,-7.73,3.46,5.87,0.03,-14.66,8.63
Sh. Ganesh Elas.,Commercial Services & Supplies,7.29,-38.57,-8.15,18.8,-30.79,-26.44,0.13,-86.06,
Sh. Hari Chem.,Chemicals & Petrochemicals,59.78,-21.09,33.67,8.82,19.54,17.66,0.63,28.61,18.74
Sh. Jagdamba Pol,Industrial Products,529.77,-15.48,1.34,3.8,17.73,22.49,0.03,-7.84,11.63
Sh. Karthik Pap.,"Paper, Forest & Jute Products",13.19,-22.91,-0.95,23.31,11.05,3.65,7.7,4.1,
Sh. Krish. Infr.,Realty,11.94,-84.02,-34.72,7.93,0.26,0.43,0,-25.56,
