Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Akums Drugs,Pharmaceuticals & Biotechnology,7683.19,7.17,,,17.19,16.2,0.03,6.24,23.68
Akzo Nobel,Consumer Durables,13367.45,-5.62,11.02,6.46,32.23,41.66,0.03,-6.99,35.51
Alacrity Sec.,Finance,276.51,-30.08,66.02,53.74,16.42,21.5,0.03,-39.14,41.77
Alan Scott Ente.,Entertainment,148.51,149.04,121.01,85.49,-141.91,-14.21,1.45,37.74,
Alankit,Commercial Services & Supplies,229.94,-46.77,-1.23,-11.92,7.56,11.29,0.07,18.73,9.84
Albert David,Pharmaceuticals & Biotechnology,406.3,-16.42,8.91,11.98,4.39,6.45,0.11,-10.37,42.28
Alchemist Corp.,Chemicals & Petrochemicals,13.56,49.81,22.58,36.3,-9.02,-7.45,0,,
Alcokraft Dist.,Beverages,74.83,-51.33,-12.23,21.79,9.76,11.76,0.83,-1.15,10.72
Alembic,Realty,2355.2,0.7,14.5,-2.03,13.69,6.9,0,14.04,7.39
Alembic Pharma,Pharmaceuticals & Biotechnology,13979.57,-4.36,11.92,-5.11,11.38,13.05,0.28,13.2,21.07
Alexander Stamps,Diversified,8.66,-33.57,-21.11,-9.05,-0.24,-0.24,0.01,-28.26,
Alfa Ica (I),Industrial Products,30.42,2.93,21.63,20.21,6.31,10.1,0.73,5.92,12.57
Alfa Transformer,Electrical Equipment,40.99,-36.47,28.82,27.78,4.48,11.53,0.53,-28.79,
Alfavision Overs,Agricultural Food & other Products,12.64,-70.25,-28.01,-0.92,0.29,0.07,3.22,-33.83,
Alfred Herbert,Finance,216.82,41.95,58.92,39.07,5.22,5.86,0,304.24,6.9
Algoquant Fin,Finance,1690.79,12.87,49.98,118.42,38.12,32.78,0.24,-10.14,94.25
Alicon Cast.,Auto Components,1229.43,-0.34,-2.75,11.56,8.02,11.56,0.57,-0.84,32.26
Alivus Life,Pharmaceuticals & Biotechnology,11191.1,3.04,34.48,,18.69,24.92,0.02,10.48,19.9
Alka India,Textiles & Apparels,5.83,,,73.11,-1.31,-1.01,,,
Alkali Metals,Chemicals & Petrochemicals,65.7,-24.4,-16.28,4.9,-7.28,-4.87,0.43,8.88,77.29
Alkem Lab,Pharmaceuticals & Biotechnology,67428.68,21.38,21.82,14.81,19.39,20.38,0.18,11.73,28.09
